dataset,method,n,faithfulness_auc_mean,faithfulness_auc_std,drop_at_10_mean,drop_at_20_mean,max_drop_mean,negative_drop_fraction_mean,monotonicity_fraction_mean
kepler,consensus,6,0.4588016028646962,0.41429929520212677,0.5512238361795122,0.5696636124169648,0.616993545662505,0.08333333333333333,0.6333333333333334
kepler,occlusion,6,0.4587189288334034,0.3891942992825154,0.5087575061479583,0.5390302252005011,0.6213220708075115,0.05555555555555555,0.7999999999999999
kepler,gradcam_multiscale,6,0.3814267674086295,0.4501063395639642,0.4470225187687902,0.32499388145515695,0.5990396989363944,0.1111111111111111,0.7000000000000001
kepler,integrated_gradients,6,0.32815857271877275,0.5215558577288288,0.3634194417584998,0.33146540077480796,0.44878889063450816,0.1388888888888889,0.6333333333333334
kepler,saliency,6,0.2808382848336431,0.41758326559696723,0.1420614706973259,0.35465348488920273,0.5877875617394844,0.1388888888888889,0.7000000000000001
kepler,smoothgrad,6,0.25924882420865697,0.40887126769516663,0.12306134885572341,0.3244568735244684,0.5715473667757275,0.1388888888888889,0.6
kepler,gradcam,6,0.10603880177416962,0.3001796167399423,0.09664281374918492,0.05803700589877003,0.317239892569584,0.19444444444444442,0.7666666666666666
tess,occlusion,6,0.38626481827083475,0.3642381417408163,0.4347265702366023,0.402353882906322,0.5019509959580842,0.0,0.6666666666666666
tess,gradcam_multiscale,6,0.2133215325316368,0.5218986032413164,0.2392400227639193,0.22164912439892845,0.3634734456042293,0.2777777777777778,0.6
tess,consensus,6,0.14208891097489004,0.5929402737790854,0.1895270505440969,0.14886447492395524,0.35862526728335453,0.2777777777777778,0.5333333333333333
tess,integrated_gradients,6,0.11175244994479926,0.6408956600957862,0.12340896633243044,0.11623837497153626,0.3515113346514447,0.2777777777777778,0.6333333333333334
tess,smoothgrad,6,0.09064544486682818,0.6009418395746201,0.0715463511082734,0.1735213864003443,0.33511392038810683,0.2777777777777778,0.7000000000000001
tess,saliency,6,0.08688963582424634,0.6106104125332508,0.049413728169072385,0.14433097029813405,0.3458064506997509,0.2777777777777778,0.6333333333333333
tess,gradcam,6,-0.14693499628117104,0.2522995956465546,-0.14527302693608962,-0.18558673896769426,0.03694155778823568,0.5,0.4666666666666666
