dataset,method,n,valid_n,pearson_mean,pearson_std,spearman_mean,spearman_std,mean_confidence_drop,mean_attribution_sum
kepler,integrated_gradients,6,5,0.21150326694206395,0.45151005557082347,0.2461913696060038,0.472351175267991,0.029970644381440554,5.270658565064271
kepler,occlusion,6,5,0.21093572203311695,0.1228033532029922,0.15939962476547845,0.09551594562453036,0.029970644381440554,47.176924459139514
kepler,consensus,6,5,0.19609416007257394,0.2136897301342914,0.15358348968105068,0.2451721389045218,0.029970644381440554,23.72027619282405
kepler,saliency,6,5,0.1434239627684229,0.2716299453300817,0.16986866791744845,0.35104386773974044,0.029970644381440554,7.42757958471775
kepler,gradcam_multiscale,6,5,0.0496476357043469,0.30063949003356577,0.056510318949343344,0.3028620138523222,0.029970644381440554,12.487003850936889
tess,occlusion,6,6,0.4957292238261107,0.27915083089099396,0.5137948466871921,0.3346915381880413,-0.06674303511730055,3.4862883208164326
tess,consensus,6,6,0.36543579337954246,0.44008533979585,0.42089923292266535,0.43971868823402915,-0.06674303511730055,4.640809832513333
tess,gradcam_multiscale,6,6,0.31537029037495196,0.3536155397093014,0.37362407948717985,0.3189737933312327,-0.06674303511730055,6.034413587053617
tess,saliency,6,6,0.20493260698524038,0.3994759786129065,0.20499181221885918,0.3791564578507341,-0.06674303511730055,3.62079114963611
tess,integrated_gradients,6,6,0.18057460100845946,0.6536495790772157,0.2573767944346549,0.7276241255129219,-0.06674303511730055,1.5176775768244017
