name,preprocess,loss,lr,dropout,use_sampler,use_pos_weight,flip_prob,noise_std,f1@0.5,mcc@0.5,best_thr,f1@best,mcc@best,ap
zscore_bce,zscore,bce,0.0002,0.1,False,False,0.3,0.005,0.9232839838492598,0.9003520386441142,0.5000000000000001,0.9232839838492598,0.9003520386441142,0.9394421283688948
best_effort_flip,none,bce,0.0003,0.0,False,False,0.5,0.0,0.9197278911564626,0.8956076915681106,0.45000000000000007,0.9152086137281292,0.889776314328122,0.9474688697459968
robust_bce,robust,bce,0.0002,0.1,False,False,0.3,0.005,0.9151193633952255,0.8900212809352026,0.5000000000000001,0.9151193633952255,0.8900212809352026,0.9506628004767128
none_bce_lr2e4_drop02,none,bce,0.0002,0.2,False,False,0.15,0.005,0.9037656903765691,0.8753958017273801,0.3500000000000001,0.9115646258503401,0.8849554706791082,0.9521758807903784
best_effort_flip_noise,none,bce,0.0003,0.0,False,False,0.5,0.005,0.9110512129380054,0.88431664089469,0.5000000000000001,0.9110512129380054,0.88431664089469,0.9450368546163714
none_focal,none,focal,0.0002,0.1,False,False,0.3,0.005,0.9038461538461539,0.875014476470927,0.5000000000000001,0.9038461538461539,0.875014476470927,0.938071526113959
robust_focal,robust,focal,0.0002,0.1,False,False,0.3,0.005,0.9014084507042254,0.8728480833272442,0.5000000000000001,0.9014084507042254,0.8728480833272442,0.9479834907063958
best_effort_repro,none,bce,0.0003,0.0,False,False,0.0,0.0,0.8980169971671388,0.8688317709255213,0.5000000000000001,0.8980169971671388,0.8688317709255213,0.938415012596995
none_bce_sampler,none,bce,0.0003,0.0,True,False,0.0,0.0,0.8990825688073395,0.8693362305492482,0.6500000000000001,0.8966442953020134,0.8654843830954521,0.9437132927669001
none_bce_lr1e4,none,bce,0.0001,0.2,False,False,0.3,0.005,0.8885832187070152,0.8551970276917392,0.45000000000000007,0.8907103825136612,0.857805076913745,0.9285510047193949
none_bce_sampler_posw,none,bce,0.0002,0.1,True,True,0.3,0.005,0.8720496894409938,0.8371474404837635,0.7000000000000002,0.8828828828828829,0.8487977006588013,0.9396318834618134
none_bce_posw,none,bce,0.0003,0.0,False,True,0.0,0.0,0.8166877370417194,0.7612897648665331,0.6500000000000001,0.8408488063660478,0.7922496069319217,0.8654269693599385
